Location,Year,Cut,Block,Position,ID,Treatment,MSC
OR,2020,1,5,12,30512,62,
OR,2020,1,5,14,30514,122,
OR,2020,1,5,16,30516,71,
OR,2020,1,5,18,30518,39,
OR,2020,1,5,20,30520,38,
OR,2020,1,6,2,30602,116,
OR,2020,1,6,4,30604,156,
OR,2020,1,6,6,30606,140,
OR,2020,1,6,8,30608,109,
OR,2020,1,6,10,30610,185,
OR,2020,1,6,12,30612,202,
OR,2020,1,6,14,30614,87,
OR,2020,1,6,16,30616,155,
OR,2020,1,6,18,30618,3,
OR,2020,1,6,20,30620,69,
OR,2020,1,7,2,30702,165,
OR,2020,1,7,4,30704,201,
OR,2020,1,7,6,30706,152,
OR,2020,1,7,8,30708,151,
OR,2020,1,7,10,30710,117,
OR,2020,1,7,12,30712,166,
OR,2020,1,7,14,30714,24,
OR,2020,1,7,16,30716,168,
OR,2020,1,7,18,30718,174,
OR,2020,1,7,20,30720,20,
OR,2020,1,8,2,30802,66,
OR,2020,1,8,4,30804,19,
OR,2020,1,8,6,30806,118,
OR,2020,1,8,8,30808,91,
OR,2020,1,8,10,30810,72,
OR,2020,1,8,12,30812,141,
OR,2020,1,8,14,30814,162,
OR,2020,1,8,16,30816,12,
OR,2020,1,8,18,30818,202,
OR,2020,1,8,20,30820,184,
OR,2020,1,9,2,30902,114,
OR,2020,1,9,4,30904,164,
OR,2020,1,9,6,30906,68,
OR,2020,1,9,8,30908,30,
OR,2020,1,9,10,30910,120,
OR,2020,1,9,12,30912,86,
OR,2020,1,9,14,30914,8,
OR,2020,1,9,16,30916,201,
OR,2020,1,9,18,30918,194,
OR,2020,1,9,20,30920,73,
OR,2020,1,10,2,31002,157,
OR,2020,1,10,4,31004,6,
OR,2020,1,10,6,31006,45,
OR,2020,1,10,8,31008,147,
OR,2020,1,10,10,31010,202,
OR,2020,1,10,12,31012,106,
OR,2020,1,10,14,31014,127,
OR,2020,1,10,16,31016,103,
OR,2020,1,10,18,31018,7,
OR,2020,1,10,20,31020,175,
OR,2020,1,11,2,31102,11,
OR,2020,1,11,4,31104,5,
OR,2020,1,11,6,31106,136,
OR,2020,1,11,8,31108,26,
OR,2020,1,11,10,31110,1,
OR,2020,1,11,12,31112,42,
OR,2020,1,11,14,31114,14,
OR,2020,1,11,16,31116,130,
OR,2020,1,11,18,31118,202,
OR,2020,1,11,20,31120,35,
OR,2020,2,1,3,30103,201,
OR,2020,2,2,17,30217,202,
OR,2020,2,3,9,30309,202,
OR,2020,2,3,11,30311,144,
OR,2020,2,3,17,30317,104,
OR,2020,2,4,13,30413,202,
OR,2020,2,5,5,30505,201,
OR,2020,2,6,1,30601,201,
OR,2020,2,7,19,30719,202,
OR,2020,2,8,7,30807,201,
OR,2020,2,8,19,30819,61,
OR,2020,2,9,7,30907,202,
OR,2020,2,10,17,31017,201,
OR,2020,2,11,3,31103,201,
OR,2020,2,1,20,30120,202,
OR,2020,2,2,10,30210,201,
OR,2020,2,3,20,30320,201,
OR,2020,2,4,6,30406,201,
OR,2020,2,4,10,30410,44,
OR,2020,2,4,14,30414,112,
OR,2020,2,5,8,30508,202,
OR,2020,2,6,12,30612,202,
OR,2020,2,7,4,30704,201,
OR,2020,2,8,18,30818,202,
OR,2020,2,9,16,30916,201,
OR,2020,2,10,10,31010,202,
OR,2020,2,11,18,31118,202,
OR,2020,3,1,3,30103,201,
OR,2020,3,2,17,30217,202,
OR,2020,3,3,9,30309,202,
OR,2020,3,3,11,30311,144,
OR,2020,3,3,17,30317,104,
OR,2020,3,4,13,30413,202,
OR,2020,3,5,5,30505,201,
OR,2020,3,6,1,30601,201,
OR,2020,3,7,19,30719,202,
OR,2020,3,8,7,30807,201,
OR,2020,3,8,19,30819,61,
OR,2020,3,9,7,30907,202,
OR,2020,3,10,17,31017,201,
OR,2020,3,11,3,31103,201,
OR,2020,3,1,20,30120,202,
OR,2020,3,2,10,30210,201,
OR,2020,3,3,20,30320,201,
OR,2020,3,4,6,30406,201,
OR,2020,3,4,10,30410,44,
OR,2020,3,4,14,30414,112,
OR,2020,3,5,8,30508,202,
OR,2020,3,6,12,30612,202,
OR,2020,3,7,4,30704,201,
OR,2020,3,8,18,30818,202,
OR,2020,3,9,16,30916,201,
OR,2020,3,10,10,31010,202,
OR,2020,3,11,18,31118,202,
OR,2020,4,1,3,30103,201,
OR,2020,4,2,17,30217,202,
OR,2020,4,3,9,30309,202,
OR,2020,4,3,11,30311,144,
OR,2020,4,3,17,30317,104,
OR,2020,4,4,13,30413,202,
OR,2020,4,5,5,30505,201,
OR,2020,4,6,1,30601,201,
OR,2020,4,7,19,30719,202,
OR,2020,4,8,7,30807,201,
OR,2020,4,8,19,30819,61,
OR,2020,4,9,7,30907,202,
OR,2020,4,10,17,31017,201,
OR,2020,4,11,3,31103,201,
OR,2020,4,1,20,30120,202,
OR,2020,4,2,10,30210,201,
OR,2020,4,3,20,30320,201,
OR,2020,4,4,6,30406,201,
OR,2020,4,4,10,30410,44,
OR,2020,4,4,14,30414,112,
OR,2020,4,5,8,30508,202,
OR,2020,4,6,12,30612,202,
OR,2020,4,7,4,30704,201,
OR,2020,4,8,18,30818,202,
OR,2020,4,9,16,30916,201,
OR,2020,4,10,10,31010,202,
OR,2020,4,11,18,31118,202,
WA,2020,1,1,1,10101,123,3.1
WA,2020,1,1,5,10105,126,3.4
WA,2020,1,1,9,10109,77,3.8
WA,2020,1,1,13,10113,133,3.7
WA,2020,1,1,17,10117,37,3.8
WA,2020,1,1,2,10102,29,4.3
WA,2020,1,1,6,10106,191,3.7
WA,2020,1,1,10,10110,69,3
WA,2020,1,1,14,10114,125,3.4
WA,2020,1,1,18,10118,13,3.4
WA,2020,1,1,3,10103,162,3.2
WA,2020,1,1,7,10107,159,3.1
WA,2020,1,1,11,10111,121,3.4
WA,2020,1,1,15,10115,202,3.5
WA,2020,1,1,19,10119,116,3.3
WA,2020,1,1,4,10104,201,3.5
WA,2020,1,1,8,10108,139,2.8
WA,2020,1,1,12,10112,84,3.8
WA,2020,1,1,16,10116,32,3.5
WA,2020,1,1,20,10120,164,3
WA,2020,1,2,1,10201,35,3.9
WA,2020,1,2,5,10205,202,3.7
WA,2020,1,2,9,10209,158,3.7
WA,2020,1,2,13,10213,82,3.6
WA,2020,1,2,17,10217,6,3
WA,2020,1,2,2,10202,146,3.4
WA,2020,1,2,6,10206,104,3.5
WA,2020,1,2,10,10210,195,3.4
WA,2020,1,2,14,10214,201,3.7
WA,2020,1,2,18,10218,52,3.4
WA,2020,1,2,3,10203,43,3.6
WA,2020,1,2,7,10207,76,3.6
WA,2020,1,2,11,10211,78,3.7
WA,2020,1,2,15,10215,34,3.3
WA,2020,1,2,19,10219,90,3.7
WA,2020,1,2,4,10204,24,3.8
WA,2020,1,2,8,10208,107,3.3
WA,2020,1,2,12,10212,3,3.1
WA,2020,1,2,16,10216,156,3.9
WA,2020,1,2,20,10220,140,3.3
WA,2020,1,3,1,10301,91,3.6
WA,2020,1,3,5,10305,119,3.7
WA,2020,1,3,9,10309,114,3.8
WA,2020,1,3,13,10313,66,3.9
WA,2020,1,3,17,10317,26,3.6
WA,2020,1,3,2,10302,201,3.5
WA,2020,1,3,6,10306,189,3.5
WA,2020,1,3,10,10310,50,3.3
WA,2020,1,3,14,10314,12,3.8
WA,2020,1,3,18,10318,182,3.8
WA,2020,1,3,3,10303,40,3.6
WA,2020,1,3,7,10307,145,3.5
WA,2020,1,3,11,10311,111,3.7
WA,2020,1,3,15,10315,197,3.3
WA,2020,1,3,19,10319,33,3.5
WA,2020,1,3,4,10304,177,3.4
WA,2020,1,3,8,10308,186,3.5
WA,2020,1,3,12,10312,202,3.5
WA,2020,1,3,16,10316,185,3.2
WA,2020,1,3,20,10320,36,3.2
WA,2020,1,4,1,10401,149,3.6
WA,2020,1,4,5,10405,53,4
WA,2020,1,4,9,10409,73,3.6
WA,2020,1,4,13,10413,201,3.5
WA,2020,1,4,17,10417,100,3.2
WA,2020,1,4,2,10402,115,3.7
WA,2020,1,4,6,10406,165,3.3
WA,2020,1,4,10,10410,131,3.4
WA,2020,1,4,14,10414,190,3.7
WA,2020,1,4,18,10418,120,4.1
WA,2020,1,4,3,10403,136,3.2
WA,2020,1,4,7,10407,202,3.4
WA,2020,1,4,11,10411,89,3.1
WA,2020,1,4,15,10415,68,3.7
WA,2020,1,4,19,10419,61,4.2
WA,2020,1,4,4,10404,22,3.6
WA,2020,1,4,8,10408,56,3.7
WA,2020,1,4,12,10412,94,3.2
WA,2020,1,4,16,10416,196,3.8
WA,2020,1,4,20,10420,179,3.8
WA,2020,1,5,1,10501,124,3.7
WA,2020,1,5,5,10505,181,3.5
WA,2020,1,5,9,10509,127,3.8
WA,2020,1,5,13,10513,99,4
WA,2020,1,5,17,10517,130,3.7
WA,2020,1,5,2,10502,174,3.9090909091
WA,2020,1,5,6,10506,108,3.5
WA,2020,1,5,10,10510,17,3.5
WA,2020,1,5,14,10514,202,3.9
WA,2020,1,5,18,10518,87,3.5
WA,2020,1,5,3,10503,128,4.1
WA,2020,1,5,7,10507,14,3.2
WA,2020,1,5,11,10511,172,3.5
WA,2020,1,5,15,10515,67,3.9
WA,2020,1,5,19,10519,161,3.5
WA,2020,1,5,4,10504,103,3.8
WA,2020,1,5,8,10508,201,3.4
WA,2020,1,5,12,10512,23,3.5
WA,2020,1,5,16,10516,138,3.8
WA,2020,1,5,20,10520,106,3.7
WA,2020,1,6,1,10601,188,3.6
WA,2020,1,6,5,10605,154,3.5
WA,2020,1,6,9,10609,183,3.8
WA,2020,1,6,13,10613,201,4.1
WA,2020,1,6,17,10617,71,3.5
WA,2020,1,6,2,10602,151,3.6
WA,2020,1,6,6,10606,5,3.2
WA,2020,1,6,10,10610,117,3.4
WA,2020,1,6,14,10614,46,4.5
WA,2020,1,6,18,10618,41,4.4
WA,2020,1,6,3,10603,19,3.6
WA,2020,1,6,7,10607,80,3.5
WA,2020,1,6,11,10611,118,3.3
WA,2020,1,6,15,10615,113,3.4
WA,2020,1,6,19,10619,95,3.8
WA,2020,1,6,4,10604,202,3.6
WA,2020,1,6,8,10608,176,3.9
WA,2020,1,6,12,10612,79,3.6
WA,2020,1,6,16,10616,25,3.4
WA,2020,1,6,20,10620,171,3.7
WA,2020,1,7,1,10701,38,3.6
WA,2020,1,7,5,10705,72,3.7
WA,2020,1,7,9,10709,27,3.5
WA,2020,1,7,13,10713,8,3.2
WA,2020,1,7,17,10717,18,3.0909090909
WA,2020,1,7,2,10702,202,3.5
WA,2020,1,7,6,10706,11,4.2
WA,2020,1,7,10,10710,45,3.5
WA,2020,1,7,14,10714,51,3.9
WA,2020,1,7,18,10718,129,3.2
WA,2020,1,7,3,10703,150,3.8
WA,2020,1,7,7,10707,135,4
WA,2020,1,7,11,10711,64,4.2
WA,2020,1,7,15,10715,201,3.7
WA,2020,1,7,19,10719,74,3.3
WA,2020,1,7,4,10704,143,3.9
WA,2020,1,7,8,10708,54,3.7
WA,2020,1,7,12,10712,163,4
WA,2020,1,7,16,10716,192,3.9
WA,2020,1,7,20,10720,70,3.3
WA,2020,1,8,1,10801,170,3.5
WA,2020,1,8,5,10805,44,3.7
WA,2020,1,8,9,10809,10,2.9
WA,2020,1,8,13,10813,75,2.8
WA,2020,1,8,17,10817,202,3.1
WA,2020,1,8,2,10802,112,3.8
WA,2020,1,8,6,10806,180,3.9
WA,2020,1,8,10,10810,169,2.9
WA,2020,1,8,14,10814,28,3.2
WA,2020,1,8,18,10818,48,3.3
WA,2020,1,8,3,10803,93,3.7
WA,2020,1,8,7,10807,137,3.6
WA,2020,1,8,11,10811,141,3.1
WA,2020,1,8,15,10815,47,4.2
WA,2020,1,8,19,10819,42,3.8
WA,2020,1,8,4,10804,98,3.8
WA,2020,1,8,8,10808,193,3.6
WA,2020,1,8,12,10812,58,3.5
WA,2020,1,8,16,10816,201,3.8
WA,2020,1,8,20,10820,194,3.7
WA,2020,1,9,1,10901,97,3.5
WA,2020,1,9,5,10905,184,3.8
WA,2020,1,9,9,10909,4,3
WA,2020,1,9,13,10913,132,3.2
WA,2020,1,9,17,10917,86,3.7
WA,2020,1,9,2,10902,31,3.4
WA,2020,1,9,6,10906,16,3.7
WA,2020,1,9,10,10910,202,3.2
WA,2020,1,9,14,10914,122,2.8
WA,2020,1,9,18,10918,20,3
WA,2020,1,9,3,10903,63,2.8
WA,2020,1,9,7,10907,201,3
WA,2020,1,9,11,10911,102,3.6
WA,2020,1,9,15,10915,173,2.7
WA,2020,1,9,19,10919,175,3.4
WA,2020,1,9,4,10904,110,3.3
WA,2020,1,9,8,10908,55,4.1
WA,2020,1,9,12,10912,7,4
WA,2020,1,9,16,10916,155,3.6
WA,2020,1,9,20,10920,187,3.5
WA,2020,1,10,1,11001,49,3.4
WA,2020,1,10,5,11005,57,3.2
WA,2020,1,10,9,11009,178,3.5
WA,2020,1,10,13,11013,85,3.2
WA,2020,1,10,17,11017,59,3.9
WA,2020,1,10,2,11002,92,2.9
WA,2020,1,10,6,11006,1,3.7
WA,2020,1,10,10,11010,21,3.1
WA,2020,1,10,14,11014,15,2.6
WA,2020,1,10,18,11018,105,3.3
WA,2020,1,10,3,11003,198,2.9
WA,2020,1,10,7,11007,166,2.9
WA,2020,1,10,11,11011,88,2.7
WA,2020,1,10,15,11015,148,3.4
WA,2020,1,10,19,11019,201,3.1
WA,2020,1,10,4,11004,96,3.3
WA,2020,1,10,8,11008,101,2.9
WA,2020,1,10,12,11012,142,2.8
WA,2020,1,10,16,11016,202,3.5
WA,2020,1,10,20,11020,153,3.2
WA,2020,1,11,1,11101,167,3.4
WA,2020,1,11,5,11105,2,3.4
WA,2020,1,11,9,11109,9,3.4
WA,2020,1,11,13,11113,60,3.3
WA,2020,1,11,17,11117,201,2.9
WA,2020,1,11,2,11102,202,3.2
WA,2020,1,11,6,11106,109,3.2
WA,2020,1,11,10,11110,147,3.2
WA,2020,1,11,14,11114,157,3.3
WA,2020,1,11,18,11118,65,3.5
WA,2020,1,11,3,11103,134,3.5
WA,2020,1,11,7,11107,83,3.5
WA,2020,1,11,11,11111,168,3.1
WA,2020,1,11,15,11115,62,3.4
WA,2020,1,11,19,11119,30,3.1
WA,2020,1,11,4,11104,152,3
WA,2020,1,11,8,11108,39,3
WA,2020,1,11,12,11112,160,3.2
WA,2020,1,11,16,11116,81,3.4
WA,2020,1,11,20,11120,144,3.3
WA,2020,2,1,1,10101,123,2.6
WA,2020,2,1,5,10105,126,2.4
WA,2020,2,1,9,10109,77,2.2
WA,2020,2,1,13,10113,133,2.5
WA,2020,2,1,17,10117,37,2.8
WA,2020,2,1,2,10102,29,2.6
WA,2020,2,1,6,10106,191,3.3
WA,2020,2,1,10,10110,69,3.1
WA,2020,2,1,14,10114,125,2.3
WA,2020,2,1,18,10118,13,2.2
WA,2020,2,1,3,10103,162,3.3
WA,2020,2,1,7,10107,159,3.1
WA,2020,2,1,11,10111,121,2.9
WA,2020,2,1,15,10115,202,2.4
WA,2020,2,1,19,10119,116,2.2
WA,2020,2,1,4,10104,201,3.1
WA,2020,2,1,8,10108,139,2.2
WA,2020,2,1,12,10112,84,2.8
WA,2020,2,1,16,10116,32,2.7
WA,2020,2,1,20,10120,164,3.2
WA,2020,2,2,1,10201,35,3.4
WA,2020,2,2,5,10205,202,2.8
WA,2020,2,2,9,10209,158,3.1
WA,2020,2,2,13,10213,82,2.7
WA,2020,2,2,17,10217,6,3.2
WA,2020,2,2,2,10202,146,3.3
WA,2020,2,2,6,10206,104,2.6
WA,2020,2,2,10,10210,195,2.7
WA,2020,2,2,14,10214,201,2.9
WA,2020,2,2,18,10218,52,2.1
WA,2020,2,2,3,10203,43,2.5
WA,2020,2,2,7,10207,76,2.4
WA,2020,2,2,11,10211,78,2.9
WA,2020,2,2,15,10215,34,3
WA,2020,2,2,19,10219,90,2.3
WA,2020,2,2,4,10204,24,2.5
WA,2020,2,2,8,10208,107,3.2
WA,2020,2,2,12,10212,3,3.2
WA,2020,2,2,16,10216,156,3.4
WA,2020,2,2,20,10220,140,2.6
WA,2020,2,3,1,10301,91,3.1
WA,2020,2,3,5,10305,119,2.7
WA,2020,2,3,9,10309,114,2.8
WA,2020,2,3,13,10313,66,2.8
WA,2020,2,3,17,10317,26,2.8
WA,2020,2,3,2,10302,201,3.2
WA,2020,2,3,6,10306,189,3.2
WA,2020,2,3,10,10310,50,2.7
WA,2020,2,3,14,10314,12,1.5
WA,2020,2,3,18,10318,182,2.8
WA,2020,2,3,3,10303,40,2.6
WA,2020,2,3,7,10307,145,3
WA,2020,2,3,11,10311,111,2.7
WA,2020,2,3,15,10315,197,3.6
WA,2020,2,3,19,10319,33,2.7
WA,2020,2,3,4,10304,177,2.9
WA,2020,2,3,8,10308,186,2.9
WA,2020,2,3,12,10312,202,2.9
WA,2020,2,3,16,10316,185,3.4
WA,2020,2,3,20,10320,36,2.9
WA,2020,2,4,1,10401,149,2.7
WA,2020,2,4,5,10405,53,2.7
WA,2020,2,4,9,10409,73,3.4
WA,2020,2,4,13,10413,201,2.7
WA,2020,2,4,17,10417,100,2.3
WA,2020,2,4,2,10402,115,2.6
WA,2020,2,4,6,10406,165,3.1
WA,2020,2,4,10,10410,131,3.1
WA,2020,2,4,14,10414,190,3
WA,2020,2,4,18,10418,120,2.8
WA,2020,2,4,3,10403,136,2.1
WA,2020,2,4,7,10407,202,3
WA,2020,2,4,11,10411,89,3.1
WA,2020,2,4,15,10415,68,2.7
WA,2020,2,4,19,10419,61,3
WA,2020,2,4,4,10404,22,2.6
WA,2020,2,4,8,10408,56,3.1
WA,2020,2,4,12,10412,94,3.1
WA,2020,2,4,16,10416,196,3.2
WA,2020,2,4,20,10420,179,3.2
WA,2020,2,5,1,10501,124,2.6
WA,2020,2,5,5,10505,181,3.3
WA,2020,2,5,9,10509,127,2.8
WA,2020,2,5,13,10513,99,3.3
WA,2020,2,5,17,10517,130,2.9
WA,2020,2,5,2,10502,174,3.1
WA,2020,2,5,6,10506,108,3
WA,2020,2,5,10,10510,17,2.5
WA,2020,2,5,14,10514,202,2.9
WA,2020,2,5,18,10518,87,3.4
WA,2020,2,5,3,10503,128,3.2
WA,2020,2,5,7,10507,14,2.7
WA,2020,2,5,11,10511,172,3.2
WA,2020,2,5,15,10515,67,3.4
WA,2020,2,5,19,10519,161,3
WA,2020,2,5,4,10504,103,3.4
WA,2020,2,5,8,10508,201,3.2
WA,2020,2,5,12,10512,23,3.1
WA,2020,2,5,16,10516,138,2.7
WA,2020,2,5,20,10520,106,2.9
WA,2020,2,6,1,10601,188,3.3
WA,2020,2,6,5,10605,154,2.7
WA,2020,2,6,9,10609,183,3.5
WA,2020,2,6,13,10613,201,2.8
WA,2020,2,6,17,10617,71,2.7
WA,2020,2,6,2,10602,151,3.1818181818
WA,2020,2,6,6,10606,5,3.2
WA,2020,2,6,10,10610,117,2.5
WA,2020,2,6,14,10614,46,2.4
WA,2020,2,6,18,10618,41,2.7
WA,2020,2,6,3,10603,19,3.3
WA,2020,2,6,7,10607,80,3.1
WA,2020,2,6,11,10611,118,2.7
WA,2020,2,6,15,10615,113,2.7
WA,2020,2,6,19,10619,95,3
WA,2020,2,6,4,10604,202,3.4
WA,2020,2,6,8,10608,176,3.5
WA,2020,2,6,12,10612,79,2.6
WA,2020,2,6,16,10616,25,3.1
WA,2020,2,6,20,10620,171,3.2
WA,2020,2,7,1,10701,38,2.8
WA,2020,2,7,5,10705,72,2.2
WA,2020,2,7,9,10709,27,2.1
WA,2020,2,7,13,10713,8,1
WA,2020,2,7,17,10717,18,2.4
WA,2020,2,7,2,10702,202,2.5
WA,2020,2,7,6,10706,11,2.4
WA,2020,2,7,10,10710,45,2.4
WA,2020,2,7,14,10714,51,2.3
WA,2020,2,7,18,10718,129,2.4
WA,2020,2,7,3,10703,150,3
WA,2020,2,7,7,10707,135,2.8
WA,2020,2,7,11,10711,64,3
WA,2020,2,7,15,10715,201,2.4
WA,2020,2,7,19,10719,74,2
WA,2020,2,7,4,10704,143,3
WA,2020,2,7,8,10708,54,2.8
WA,2020,2,7,12,10712,163,2.7
WA,2020,2,7,16,10716,192,2.9
WA,2020,2,7,20,10720,70,3
WA,2020,2,8,1,10801,170,3.1
WA,2020,2,8,5,10805,44,3
WA,2020,2,8,9,10809,10,2.9
WA,2020,2,8,13,10813,75,1
WA,2020,2,8,17,10817,202,3.3
WA,2020,2,8,2,10802,112,2.5
WA,2020,2,8,6,10806,180,2.9
WA,2020,2,8,10,10810,169,3.2
WA,2020,2,8,14,10814,28,2.1
WA,2020,2,8,18,10818,48,2.8
WA,2020,2,8,3,10803,93,3
WA,2020,2,8,7,10807,137,3
WA,2020,2,8,11,10811,141,3.2
WA,2020,2,8,15,10815,47,3.1
WA,2020,2,8,19,10819,42,2.4
WA,2020,2,8,4,10804,98,2.7
WA,2020,2,8,8,10808,193,3.1
WA,2020,2,8,12,10812,58,3.3
WA,2020,2,8,16,10816,201,2.9
WA,2020,2,8,20,10820,194,3.1
WA,2020,2,9,1,10901,97,2.6
WA,2020,2,9,5,10905,184,2.9
WA,2020,2,9,9,10909,4,2.1
WA,2020,2,9,13,10913,132,2.5
WA,2020,2,9,17,10917,86,2.8
WA,2020,2,9,2,10902,31,3
WA,2020,2,9,6,10906,16,2.3
WA,2020,2,9,10,10910,202,3
WA,2020,2,9,14,10914,122,2.6
WA,2020,2,9,18,10918,20,2.3
WA,2020,2,9,3,10903,63,2.2
WA,2020,2,9,7,10907,201,2.4
WA,2020,2,9,11,10911,102,2.6
WA,2020,2,9,15,10915,173,2.8
WA,2020,2,9,19,10919,175,3
WA,2020,2,9,4,10904,110,3.1
WA,2020,2,9,8,10908,55,3.2
WA,2020,2,9,12,10912,7,3.1
WA,2020,2,9,16,10916,155,3
WA,2020,2,9,20,10920,187,2.9
WA,2020,2,10,1,11001,49,3.5
WA,2020,2,10,5,11005,57,2.3
WA,2020,2,10,9,11009,178,3.3
WA,2020,2,10,13,11013,85,2.8
WA,2020,2,10,17,11017,59,2.7
WA,2020,2,10,2,11002,92,2.7
WA,2020,2,10,6,11006,1,3.4
WA,2020,2,10,10,11010,21,2.6
WA,2020,2,10,14,11014,15,2.9
WA,2020,2,10,18,11018,105,2.6
WA,2020,2,10,3,11003,198,3.3
WA,2020,2,10,7,11007,166,2.9
WA,2020,2,10,11,11011,88,2.5
WA,2020,2,10,15,11015,148,2.8
WA,2020,2,10,19,11019,201,2.7
WA,2020,2,10,4,11004,96,2.4
WA,2020,2,10,8,11008,101,3.2
WA,2020,2,10,12,11012,142,1
WA,2020,2,10,16,11016,202,3.2
WA,2020,2,10,20,11020,153,3.2
WA,2020,2,11,1,11101,167,2.9
WA,2020,2,11,5,11105,2,2.6
WA,2020,2,11,9,11109,9,2.8
WA,2020,2,11,13,11113,60,3.3
WA,2020,2,11,17,11117,201,2.9
WA,2020,2,11,2,11102,202,3.2
WA,2020,2,11,6,11106,109,2.4
WA,2020,2,11,10,11110,147,2.3
WA,2020,2,11,14,11114,157,2.8
WA,2020,2,11,18,11118,65,2.9
WA,2020,2,11,3,11103,134,3.1
WA,2020,2,11,7,11107,83,3
WA,2020,2,11,11,11111,168,2.8
WA,2020,2,11,15,11115,62,2.9
WA,2020,2,11,19,11119,30,2.6
WA,2020,2,11,4,11104,152,2.5
WA,2020,2,11,8,11108,39,2.7
WA,2020,2,11,12,11112,160,3.1
WA,2020,2,11,16,11116,81,2.6
WA,2020,2,11,20,11120,144,2.7
WA,2020,3,1,1,10101,123,3
WA,2020,3,1,5,10105,126,3.6
WA,2020,3,1,9,10109,77,4
WA,2020,3,1,13,10113,133,4.3
WA,2020,3,1,17,10117,37,4
WA,2020,3,1,2,10102,29,4.3
WA,2020,3,1,6,10106,191,3.6
WA,2020,3,1,10,10110,69,3.4
WA,2020,3,1,14,10114,125,2.7
WA,2020,3,1,18,10118,13,3.5
WA,2020,3,1,3,10103,162,3.2
WA,2020,3,1,7,10107,159,3.7
WA,2020,3,1,11,10111,121,3.9
WA,2020,3,1,15,10115,202,2.8
WA,2020,3,1,19,10119,116,2.4
WA,2020,3,1,4,10104,201,3.4
WA,2020,3,1,8,10108,139,3.1
WA,2020,3,1,12,10112,84,3.3
WA,2020,3,1,16,10116,32,3.3
WA,2020,3,1,20,10120,164,3.6
WA,2020,3,2,1,10201,35,4.4
WA,2020,3,2,5,10205,202,4
WA,2020,3,2,9,10209,158,4.2
WA,2020,3,2,13,10213,82,3.2
WA,2020,3,2,17,10217,6,3.4
WA,2020,3,2,2,10202,146,3.8
WA,2020,3,2,6,10206,104,3
WA,2020,3,2,10,10210,195,3.6
WA,2020,3,2,14,10214,201,3.4
WA,2020,3,2,18,10218,52,2.9
WA,2020,3,2,3,10203,43,3.5
WA,2020,3,2,7,10207,76,3.2
WA,2020,3,2,11,10211,78,3.5
WA,2020,3,2,15,10215,34,3.8
WA,2020,3,2,19,10219,90,2.7
WA,2020,3,2,4,10204,24,2.7
WA,2020,3,2,8,10208,107,3.2
WA,2020,3,2,12,10212,3,3.1
WA,2020,3,2,16,10216,156,3.5
WA,2020,3,2,20,10220,140,2.8
WA,2020,3,3,1,10301,91,3.8
WA,2020,3,3,5,10305,119,3.9
WA,2020,3,3,9,10309,114,3.9
WA,2020,3,3,13,10313,66,4.5
WA,2020,3,3,17,10317,26,3.7
WA,2020,3,3,2,10302,201,4
WA,2020,3,3,6,10306,189,3.7
WA,2020,3,3,10,10310,50,4.2
WA,2020,3,3,14,10314,12,4.5
WA,2020,3,3,18,10318,182,3.6
WA,2020,3,3,3,10303,40,3.2
WA,2020,3,3,7,10307,145,3.2
WA,2020,3,3,11,10311,111,3.6
WA,2020,3,3,15,10315,197,3.2
WA,2020,3,3,19,10319,33,3.9
WA,2020,3,3,4,10304,177,3.2
WA,2020,3,3,8,10308,186,3.7
WA,2020,3,3,12,10312,202,4.2
WA,2020,3,3,16,10316,185,4
WA,2020,3,3,20,10320,36,3.5
WA,2020,3,4,1,10401,149,4.2
WA,2020,3,4,5,10405,53,4.3
WA,2020,3,4,9,10409,73,3.8
WA,2020,3,4,13,10413,201,4.1
WA,2020,3,4,17,10417,100,4.2
WA,2020,3,4,2,10402,115,4.2
WA,2020,3,4,6,10406,165,3.7
WA,2020,3,4,10,10410,131,3.5
WA,2020,3,4,14,10414,190,3.4
WA,2020,3,4,18,10418,120,4.1
WA,2020,3,4,3,10403,136,4.2
WA,2020,3,4,7,10407,202,3.4
WA,2020,3,4,11,10411,89,3.6
WA,2020,3,4,15,10415,68,3.5
WA,2020,3,4,19,10419,61,4.1
WA,2020,3,4,4,10404,22,4.1
WA,2020,3,4,8,10408,56,3.6
WA,2020,3,4,12,10412,94,3.5
WA,2020,3,4,16,10416,196,3.5
WA,2020,3,4,20,10420,179,3.5
WA,2020,3,5,1,10501,124,4
WA,2020,3,5,5,10505,181,3.4
WA,2020,3,5,9,10509,127,4.1
WA,2020,3,5,13,10513,99,4.3
WA,2020,3,5,17,10517,130,4.2
WA,2020,3,5,2,10502,174,3.5
WA,2020,3,5,6,10506,108,3.6
WA,2020,3,5,10,10510,17,3.3
WA,2020,3,5,14,10514,202,3.5
WA,2020,3,5,18,10518,87,4.1
WA,2020,3,5,3,10503,128,3.8
WA,2020,3,5,7,10507,14,3.4
WA,2020,3,5,11,10511,172,3.2
WA,2020,3,5,15,10515,67,3.9
WA,2020,3,5,19,10519,161,3.9
WA,2020,3,5,4,10504,103,3.6
WA,2020,3,5,8,10508,201,3.6
WA,2020,3,5,12,10512,23,3.5
WA,2020,3,5,16,10516,138,4.4
WA,2020,3,5,20,10520,106,3.8181818182
WA,2020,3,6,1,10601,188,3.5
WA,2020,3,6,5,10605,154,3.6
WA,2020,3,6,9,10609,183,3.6
