Location,Year,Cut,Block,Position,ID,Treatment,P_Height,DM_Pct,Yield_MgHa
OR,2020,3,3,15,30315,54,28.8,,3.9830488051
OR,2020,3,3,17,30317,104,28.8,,3.4511147616
OR,2020,3,3,19,30319,4,26.4,,3.8975172544
OR,2020,3,4,1,30401,108,28.8,,3.7847711194
OR,2020,3,4,3,30403,100,24,,3.4756911974
OR,2020,3,4,5,30405,15,26.4,,4.082187648
OR,2020,3,4,7,30407,13,25.2,,3.969441513
OR,2020,3,4,9,30409,191,31.2,,4.0219267827
OR,2020,3,4,11,30411,102,27.6,,3.7283980518
OR,2020,3,4,13,30413,202,27.6,,4.3154555136
OR,2020,3,4,15,30415,131,31.2,,4.179382592
OR,2020,3,4,17,30417,126,22.8,,3.3648889613
OR,2020,3,4,19,30419,47,28.8,,3.3765523546
OR,2020,3,5,1,30501,75,19.2,,3.0966309158
OR,2020,3,5,3,30503,154,25.2,,3.6836883776
OR,2020,3,5,5,30505,201,25.2,,3.0845509728
OR,2020,3,5,7,30507,22,24,,2.8866898368
OR,2020,3,5,9,30509,82,27.6,,3.6836883776
OR,2020,3,5,11,30511,134,28.8,,3.2987963994
OR,2020,3,5,13,30513,29,19.2,,2.7836631962
OR,2020,3,5,15,30515,137,21.6,,2.7894948928
OR,2020,3,5,17,30517,41,28.8,,3.2152087475
OR,2020,3,5,19,30519,28,15.6,,2.560114825
OR,2020,3,6,1,30601,201,26.4,,3.1511989344
OR,2020,3,6,3,30603,60,30,,3.207433152
OR,2020,3,6,5,30605,188,27.6,,3.6098202202
OR,2020,3,6,7,30607,76,24,,2.9819408819
OR,2020,3,6,9,30609,101,26.4,,3.6350909056
OR,2020,3,6,11,30611,146,30,,4.2901848282
OR,2020,3,6,13,30613,129,26.4,,2.9391751066
OR,2020,3,6,15,30615,150,27.6,,3.4212620288
OR,2020,3,6,17,30617,98,28.8,,2.5951050048
OR,2020,3,6,19,30619,88,24,,2.4590320832
OR,2020,3,7,1,30701,149,26.4,,3.4601400064
OR,2020,3,7,3,30703,138,24,,2.8380923648
OR,2020,3,7,5,30705,31,24,,2.9216800166
OR,2020,3,7,7,30707,70,32.4,,3.499017984
OR,2020,3,7,9,30709,142,16.8,,2.900297129
OR,2020,3,7,11,30711,111,24,,3.6039885235
OR,2020,3,7,13,30713,186,28.8,,3.3124036915
OR,2020,3,7,15,30715,143,26.4,,3.6467542989
OR,2020,3,7,17,30717,132,24,,3.1452283878
OR,2020,3,7,19,30719,202,28.8,,4.3050417696
OR,2020,3,8,1,30801,58,25.2,,2.5212368474
OR,2020,3,8,3,30803,36,26.4,,3.6350909056
OR,2020,3,8,5,30805,169,26.4,,3.9966560973
OR,2020,3,8,7,30807,201,27.6,,3.9967949472
OR,2020,3,8,9,30809,105,28.8,,4.2143727718
OR,2020,3,8,11,30811,158,27.6,,4.7392254694
OR,2020,3,8,13,30813,135,25.2,,3.1724429722
OR,2020,3,8,15,30815,57,24,,3.2268721408
OR,2020,3,8,17,30817,56,32.4,,3.2093770509
OR,2020,3,8,19,30819,61,27.6,,3.0991302144
OR,2020,3,9,1,30901,96,27.6,,3.6039885235
OR,2020,3,9,3,30903,64,24,,2.7914387917
OR,2020,3,9,5,30905,196,26.4,,4.2513068506
OR,2020,3,9,7,30907,202,28.8,,3.8093475552
OR,2020,3,9,9,30909,170,26.4,,4.1560558054
OR,2020,3,9,11,30911,16,21.6,,3.5009618829
OR,2020,3,9,13,30913,33,21.6,,2.9255678144
OR,2020,3,9,15,30915,23,24,,3.0577529382
OR,2020,3,9,17,30917,128,26.4,,2.5348441395
OR,2020,3,9,19,30919,52,20.4,,2.2549227008
OR,2020,3,10,1,31001,148,27.6,,3.9169562432
OR,2020,3,10,3,31003,80,28.8,,3.3435060736
OR,2020,3,10,5,31005,93,24,,3.5048496806
OR,2020,3,10,7,31007,83,26.4,,3.289076905
OR,2020,3,10,9,31009,125,20.4,,3.0752480282
OR,2020,3,10,11,31011,172,24,,3.8353124902
OR,2020,3,10,13,31013,89,26.4,,2.8769703424
OR,2020,3,10,15,31015,107,26.4,,3.2288160397
OR,2020,3,10,17,31017,201,24,,3.8260095456
OR,2020,3,10,19,31019,32,27.6,,3.3065719949
OR,2020,3,11,1,31101,2,32.4,,3.4193181299
OR,2020,3,11,3,31103,201,27.6,,3.8572507776
OR,2020,3,11,5,31105,180,30,,3.3104597926
OR,2020,3,11,7,31107,9,24,,3.4387571187
OR,2020,3,11,9,31109,53,26.4,,3.6175958157
OR,2020,3,11,11,31111,198,28.8,,4.1171778278
OR,2020,3,11,13,31113,43,24,,3.046089545
OR,2020,3,11,15,31115,163,28.8,,3.6545298944
OR,2020,3,11,17,31117,97,21.6,,2.657309769
OR,2020,3,11,19,31119,124,21.6,,2.2471471053
OR,2020,3,1,2,30102,90,28.8,,3.5456715571
OR,2020,3,1,4,30104,55,31.2,,3.7050712653
OR,2020,3,1,6,30106,192,30,,4.1424485133
OR,2020,3,1,8,30108,48,26.4,,3.6992395686
OR,2020,3,1,10,30110,159,24,,4.4282016486
OR,2020,3,1,12,30112,95,30,,4.1502241088
OR,2020,3,1,14,30114,81,26.4,,3.8605831757
OR,2020,3,1,16,30116,123,24,,3.7595004339
OR,2020,3,1,18,30118,160,31.2,,4.9064007731
OR,2020,3,1,20,30120,202,30,,4.7465845152
OR,2020,3,2,2,30202,121,27.6,,3.3240670848
OR,2020,3,2,4,30204,65,30,,4.3621090867
OR,2020,3,2,6,30206,25,28.8,,2.5834416115
OR,2020,3,2,8,30208,40,26.4,,4.1113461312
OR,2020,3,2,10,30210,201,26.4,,4.311290016
OR,2020,3,2,12,30212,21,27.6,,3.6972956698
OR,2020,3,2,14,30214,92,36,,3.9985999962
OR,2020,3,2,16,30216,193,28.8,,4.8344765146
OR,2020,3,2,18,30218,94,26.4,,3.417374231
OR,2020,3,2,20,30220,51,28.8,,3.7303419507
OR,2020,3,3,2,30302,113,27.6,,3.9927682995
OR,2020,3,3,4,30304,37,24,,3.6001007258
OR,2020,3,3,6,30306,84,28.8,,3.5204008717
OR,2020,3,3,8,30308,187,32.4,,4.3854358733
OR,2020,3,3,10,30310,110,32.4,,3.7128468608
OR,2020,3,3,12,30312,79,28.8,,3.8528075802
OR,2020,3,3,14,30314,77,25.2,,3.4232059277
OR,2020,3,3,16,30316,161,27.6,,3.969441513
OR,2020,3,3,18,30318,177,30,,3.6545298944
OR,2020,3,3,20,30320,201,30,,3.85308528
OR,2020,3,4,2,30402,197,33.6,,4.0996827379
OR,2020,3,4,4,30404,49,26.4,,3.8119857037
OR,2020,3,4,6,30406,201,27.6,,3.7093756128
OR,2020,3,4,8,30408,63,27.6,,3.6798005798
OR,2020,3,4,10,30410,44,32.4,,3.6573068928
OR,2020,3,4,12,30412,115,25.2,,3.3415621747
OR,2020,3,4,14,30414,112,30,,3.6947963712
OR,2020,3,4,16,30416,85,19.2,,2.8380923648
OR,2020,3,4,18,30418,67,28.8,,3.2093770509
OR,2020,3,4,20,30420,182,36,,3.7400614451
OR,2020,3,5,2,30502,171,21.6,,4.1696630976
OR,2020,3,5,4,30504,119,26.4,,3.6409226022
OR,2020,3,5,6,30506,17,24,,3.3182353882
OR,2020,3,5,8,30508,202,30,,3.4948524864
OR,2020,3,5,10,30510,50,26.4,,3.2113209498
OR,2020,3,5,12,30512,62,26.4,,3.7478370406
OR,2020,3,5,14,30514,122,24,,4.033590176
OR,2020,3,5,16,30516,71,21.6,,3.8022662093
OR,2020,3,5,18,30518,39,20.4,,3.5612227482
OR,2020,3,5,20,30520,38,24,,3.9772171085
OR,2020,3,6,2,30602,116,24,,3.3085158938
OR,2020,3,6,4,30604,156,28.8,,4.601208649
OR,2020,3,6,6,30606,140,24,,3.2793574106
OR,2020,3,6,8,30608,109,25.2,,3.2424233318
OR,2020,3,6,10,30610,185,30,,4.4029309632
OR,2020,3,6,12,30612,202,31.2,,4.4195929536
OR,2020,3,6,14,30614,87,27.6,,3.0558090394
OR,2020,3,6,16,30616,155,28.8,,3.8528075802
OR,2020,3,6,18,30618,3,30,,3.6506420966
OR,2020,3,6,20,30620,69,34.8,,3.775051625
OR,2020,3,7,2,30702,165,24,,4.0122072883
OR,2020,3,7,4,30704,201,24,,3.6593896416
OR,2020,3,7,6,30706,152,24,,2.4570881843
OR,2020,3,7,8,30708,151,28.8,,3.5845495347
OR,2020,3,7,10,30710,117,27.6,,3.6623054899
OR,2020,3,7,12,30712,166,27.6,,3.9733293107
OR,2020,3,7,14,30714,24,25.2,,3.2443672307
OR,2020,3,7,16,30716,168,27.6,,4.1541119066
OR,2020,3,7,18,30718,174,24,,4.1210656256
OR,2020,3,7,20,30720,20,27.6,,3.7031273664
OR,2020,3,8,2,30802,66,26.4,,3.3221231859
OR,2020,3,8,4,30804,19,28.8,,2.9411190054
OR,2020,3,8,6,30806,118,28.8,,3.3337865792
OR,2020,3,8,8,30808,91,30,,4.261026345
OR,2020,3,8,10,30810,72,28.8,,2.8264289715
OR,2020,3,8,12,30812,141,36,,3.6331470067
OR,2020,3,8,14,30814,162,30,,3.5398398605
OR,2020,3,8,16,30816,12,19.2,,1.879750217
OR,2020,3,8,18,30818,202,31.2,,3.74894784
OR,2020,3,8,20,30820,184,33.6,,3.7342297485
OR,2020,3,9,2,30902,114,28.8,,3.2385355341
OR,2020,3,9,4,30904,164,27.6,,3.8255929958
OR,2020,3,9,6,30906,68,22.8,,2.8147655782
OR,2020,3,9,8,30908,30,26.4,,3.2540867251
OR,2020,3,9,10,30910,120,19.2,,3.3221231859
OR,2020,3,9,12,30912,86,21.6,,3.1471722867
OR,2020,3,9,14,30914,8,21.6,,3.2424233318
OR,2020,3,9,16,30916,201,24,,3.28032936
OR,2020,3,9,18,30918,194,27.6,,3.7031273664
OR,2020,3,9,20,30920,73,31.2,,3.5942690291
OR,2020,3,10,2,31002,157,28.8,,3.0558090394
OR,2020,3,10,4,31004,6,32.4,,3.0907992192
OR,2020,3,10,6,31006,45,26.4,,2.721458432
OR,2020,3,10,8,31008,147,30,,3.4329254221
OR,2020,3,10,10,31010,202,25.2,,3.009572016
OR,2020,3,10,12,31012,106,30,,3.6059324224
OR,2020,3,10,14,31014,127,26.4,,3.013043264
OR,2020,3,10,16,31016,103,28.8,,3.1510600845
OR,2020,3,10,18,31018,7,20.4,,1.7281261043
OR,2020,3,10,20,31020,175,27.6,,4.0160950861
OR,2020,3,11,2,31102,11,24,,2.2490910042
OR,2020,3,11,4,31104,5,32.4,,3.5612227482
OR,2020,3,11,6,31106,136,21.6,,2.511517353
OR,2020,3,11,8,31108,26,27.6,,3.0499773427
OR,2020,3,11,10,31110,1,28.8,,2.3423981504
OR,2020,3,11,12,31112,42,19.2,,3.0013798707
OR,2020,3,11,14,31114,14,26.4,,2.7311779264
OR,2020,3,11,16,31116,130,24,,2.3074079706
OR,2020,3,11,18,31118,202,28.8,,2.7554766624
OR,2020,3,11,20,31120,35,27.6,,2.785607095
OR,2020,4,1,1,30101,34,27.6,,3.3527257702
OR,2020,4,1,3,30103,201,18,,2.6436398364
OR,2020,4,1,5,30105,10,16.8,,2.6739678874
OR,2020,4,1,7,30107,145,19.2,,3.386542889
OR,2020,4,1,9,30109,74,9.6,,1.3140366131
OR,2020,4,1,11,30111,176,19.2,,3.3020000922
OR,2020,4,1,13,30113,190,26.4,,3.3406482278
OR,2020,4,1,15,30115,167,25.2,,3.8189189069
OR,2020,4,1,17,30117,46,8.4,,0.9782809344
OR,2020,4,1,19,30119,18,18,,2.5193753446
OR,2020,4,2,1,30201,178,24,,3.1498230579
OR,2020,4,2,3,30203,173,21.6,,3.4179444992
OR,2020,4,2,5,30205,181,24,,3.0314631424
OR,2020,4,2,7,30207,153,24,,2.8647930573
OR,2020,4,2,9,30209,78,19.2,,1.9082516992
OR,2020,4,2,11,30211,179,24,,3.2512744141
OR,2020,4,2,13,30213,59,19.2,,1.7850607667
OR,2020,4,2,15,30215,27,12,,2.0314426317
OR,2020,4,2,17,30217,202,27.6,,2.9200813625
OR,2020,4,2,19,30219,99,12,,1.7222575462
OR,2020,4,3,1,30301,139,19.2,,2.5000512768
OR,2020,4,3,3,30303,183,26.4,,2.9734909389
OR,2020,4,3,5,30305,189,21.6,,3.0676957696
OR,2020,4,3,7,30307,133,18,,1.7947228006
OR,2020,4,3,9,30309,202,18,,3.0301211932
OR,2020,4,3,11,30311,144,26.4,,3.054276278
OR,2020,4,3,13,30313,195,24,,3.0338786509
OR,2020,4,3,15,30315,54,26.4,,3.0266321254
OR,2020,4,3,17,30317,104,25.2,,3.3495050923
OR,2020,4,3,19,30319,4,18,,2.7102005146
OR,2020,4,4,1,30401,108,24,,3.0314631424
OR,2020,4,4,3,30403,100,21.6,,1.997625513
OR,2020,4,4,5,30405,15,20.4,,2.8092363622
OR,2020,4,4,7,30407,13,16.8,,2.6087491584
OR,2020,4,4,9,30409,191,19.2,,3.2174572954
OR,2020,4,4,11,30411,102,21.6,,3.2029642445
OR,2020,4,4,13,30413,202,21.6,,3.2394652615
OR,2020,4,4,15,30415,131,22.8,,3.1763936512
OR,2020,4,4,17,30417,126,9.6,,1.4758756813
OR,2020,4,4,19,30419,47,18,,2.7343555994
OR,2020,4,5,1,30501,75,7.2,,0.9275552563
OR,2020,4,5,3,30503,154,25.2,,3.0556182272
OR,2020,4,5,5,30505,201,19.2,,2.1551703438
OR,2020,4,5,7,30507,22,18,,1.6667008512
OR,2020,4,5,9,30509,82,16.8,,2.3961844122
OR,2020,4,5,11,30511,134,18,,2.3454587341
OR,2020,4,5,13,30513,29,7.2,,0.5966305946
OR,2020,4,5,15,30515,137,15.6,,1.7898917837
OR,2020,4,5,17,30517,41,21.6,,2.2174367846
OR,2020,4,5,19,30519,28,3.6,,0.246381865
OR,2020,4,6,1,30601,201,21.6,,1.9458262756
OR,2020,4,6,3,30603,60,20.4,,2.3816913613
OR,2020,4,6,5,30605,188,24,,2.6256577178
OR,2020,4,6,7,30607,76,15.6,,1.7995538176
OR,2020,4,6,9,30609,101,19.2,,2.4300015309
OR,2020,4,6,11,30611,146,27.6,,2.8140673792
OR,2020,4,6,13,30613,129,18,,2.1570490726
OR,2020,4,6,15,30615,150,24,,2.5676855142
OR,2020,4,6,17,30617,98,24,,2.3285501747
OR,2020,4,6,19,30619,88,15.6,,1.4009949184
OR,2020,4,7,1,30701,149,18,,2.4082619546
OR,2020,4,7,3,30703,138,18,,1.746412631
OR,2020,4,7,5,30705,31,12,,1.630468224
OR,2020,4,7,7,30707,70,24,,1.9662239027
OR,2020,4,7,9,30709,142,8.4,,0.3888968653
OR,2020,4,7,11,30711,111,14.4,,2.4348325478
OR,2020,4,7,13,30713,186,19.2,,2.4300015309
OR,2020,4,7,15,30715,143,16.8,,2.4855582259
OR,2020,4,7,17,30717,132,14.4,,1.20775424
OR,2020,4,7,19,30719,202,21.6,,2.9120296676
OR,2020,4,8,1,30801,58,16.8,,1.6401302579
OR,2020,4,8,3,30803,36,15.6,,2.1280629709
OR,2020,4,8,5,30805,169,20.4,,2.9300117862
OR,2020,4,8,7,30807,201,19.2,,2.5443355989
OR,2020,4,8,9,30809,105,21.6,,3.3527257702
OR,2020,4,8,11,30811,158,24,,3.4034514483
OR,2020,4,8,13,30813,135,16.8,,1.8333709363
OR,2020,4,8,15,30815,57,12,,1.4348120371
OR,2020,4,8,17,30817,56,31.2,,2.350289751
OR,2020,4,8,19,30819,61,24,,2.0585500046
OR,2020,4,9,1,30901,96,24,,2.5725165312
OR,2020,4,9,3,30903,64,21.6,,2.173957632
OR,2020,4,9,5,30905,196,21.6,,3.0556182272
OR,2020,4,9,7,30907,202,24,,2.6329042432
OR,2020,4,9,9,30909,170,24,,3.0435406848
OR,2020,4,9,11,30911,16,12,,1.4251500032
OR,2020,4,9,13,30913,33,12,,1.2174162739
OR,2020,4,9,15,30915,23,18,,1.8092158515
OR,2020,4,9,17,30917,128,15.6,,1.7270885632
OR,2020,4,9,19,30919,52,7.2,,0.9203087309
OR,2020,4,10,1,31001,148,19.2,,2.6908764467
OR,2020,4,10,3,31003,80,19.2,,2.7246935654
OR,2020,4,10,5,31005,93,18,,1.987963479
OR,2020,4,10,7,31007,83,19.2,,2.6546438195
OR,2020,4,10,9,31009,125,4.8,,0.8671675443
OR,2020,4,10,11,31011,172,20.4,,3.0870198374
OR,2020,4,10,13,31013,89,19.2,,2.118400937
OR,2020,4,10,15,31015,107,24,,2.6884609382
OR,2020,4,10,17,31017,201,20.4,,1.9404584789
OR,2020,4,10,19,31019,32,19.2,,1.9952100045
OR,2020,4,11,1,31101,2,27.6,,2.0411046656
OR,2020,4,11,3,31103,201,19.2,,1.9136194958
OR,2020,4,11,5,31105,180,24,,2.7367711078
OR,2020,4,11,7,31107,9,7.2,,1.0290066125
OR,2020,4,11,9,31109,53,18,,2.359951785
OR,2020,4,11,11,31111,198,21.6,,3.0097235661
OR,2020,4,11,13,31113,43,12,,1.3043745792
OR,2020,4,11,15,31115,163,24,,2.601502633
OR,2020,4,11,17,31117,97,9.6,,0.9178932224
OR,2020,4,11,19,31119,124,12,,1.2294938163
OR,2020,4,1,2,30102,90,19.2,,1.6811939021
OR,2020,4,1,4,30104,55,24,,2.41550848
OR,2020,4,1,6,30106,192,24,,2.9469203456
OR,2020,4,1,8,30108,48,16.8,,2.5290373786
OR,2020,4,1,10,30110,159,24,,3.265767465
OR,2020,4,1,12,30112,95,20.4,,2.8913636506
OR,2020,4,1,14,30114,81,19.2,,3.079773312
OR,2020,4,1,16,30116,123,19.2,,3.0435406848
OR,2020,4,1,18,30118,160,24,,3.1667316173
OR,2020,4,1,20,30120,202,24,,3.502487296
OR,2020,4,2,2,30202,121,19.2,,2.6111646669
OR,2020,4,2,4,30204,65,26.4,,3.0676957696
OR,2020,4,2,6,30206,25,19.2,,2.3430432256
OR,2020,4,2,8,30208,40,16.8,,2.3237191578
OR,2020,4,2,10,30210,201,19.2,,2.5658067854
OR,2020,4,2,12,30212,21,20.4,,2.471065175
OR,2020,4,2,14,30214,92,33.6,,2.8478844979
OR,2020,4,2,16,30216,193,25.2,,3.5193958554
OR,2020,4,2,18,30218,94,22.8,,3.014554583
OR,2020,4,2,20,30220,51,19.2,,2.6159956838
OR,2020,4,3,2,30302,113,24,,2.898610176
OR,2020,4,3,4,30304,37,15.6,,1.5121083085
OR,2020,4,3,6,30306,84,21.6,,2.5701010227
OR,2020,4,3,8,30308,187,26.4,,3.2947535667
OR,2020,4,3,10,30310,110,27.6,,3.1039283968
OR,2020,4,3,12,30312,79,14.4,,2.2005282253
OR,2020,4,3,14,30314,77,18,,2.4855582259
OR,2020,4,3,16,30316,161,19.2,,2.9879839898
OR,2020,4,3,18,30318,177,21.6,,3.0435406848
OR,2020,4,3,20,30320,201,21.6,,2.7590474638
OR,2020,4,4,2,30402,197,25.2,,3.1763936512
OR,2020,4,4,4,30404,49,19.2,,2.5145443277
OR,2020,4,4,6,30406,201,16.8,,2.2866813611
OR,2020,4,4,8,30408,63,19.2,,2.4928047514
OR,2020,4,4,10,30410,44,24,,3.1428449223
OR,2020,4,4,12,30412,115,21.6,,2.6691368704
OR,2020,4,4,14,30414,112,13.2,,2.3108364459
OR,2020,4,4,16,30416,85,10.8,,1.1932611891
OR,2020,4,4,18,30418,67,21.6,,2.5773475482
OR,2020,4,4,20,30420,182,24,,2.8527155149
OR,2020,4,5,2,30502,171,19.2,,3.0097235661
OR,2020,4,5,4,30504,119,20.4,,2.1256474624
OR,2020,4,5,6,30506,17,18,,1.9420688179
OR,2020,4,5,8,30508,202,21.6,,2.976443227
OR,2020,4,5,10,30510,50,18,,2.0024565299
OR,2020,4,5,12,30512,62,19.2,,2.3357967002
OR,2020,4,5,14,30514,122,24,,2.9010256845
OR,2020,4,5,16,30516,71,18,,2.4952202598
OR,2020,4,5,18,30518,39,8.4,,0.9468793242
OR,2020,4,5,20,30520,38,18,,2.2971485645
OR,2020,4,6,2,30602,116,12,,1.932406784
OR,2020,4,6,4,30604,156,24,,3.4855787366
OR,2020,4,6,6,30606,140,14.4,,1.9686394112
OR,2020,4,6,8,30608,109,20.4,,2.41550848
OR,2020,4,6,10,30610,185,24,,2.7923278029
OR,2020,4,6,12,30612,202,27.6,,3.2394652615
OR,2020,4,6,14,30614,87,24,,2.3188881408
OR,2020,4,6,16,30616,155,24,,3.2705984819
OR,2020,4,6,18,30618,3,24,,2.0435201741
OR,2020,4,6,20,30620,69,27.6,,2.4420790733
OR,2020,4,7,2,30702,165,22.8,,2.893779159
OR,2020,4,7,4,30704,201,18,,2.1712737337
OR,2020,4,7,6,30706,152,12,,1.1352889856
OR,2020,4,7,8,30708,151,24,,2.8188983962
OR,2020,4,7,10,30710,117,18,,2.1715421235
OR,2020,4,7,12,30712,166,24,,3.3454792448
OR,2020,4,7,14,30714,24,12,,1.7077644954
OR,2020,4,7,16,30716,168,24,,3.0314631424
OR,2020,4,7,18,30718,174,24,,3.1377455155
OR,2020,4,7,20,30720,20,18,,2.41550848
OR,2020,4,8,2,30802,66,26.4,,2.2850710221
OR,2020,4,8,4,30804,19,15.6,,1.630468224
OR,2020,4,8,6,30806,118,24,,2.3671983104
OR,2020,4,8,8,30808,91,24,,2.8068208538
OR,2020,4,8,10,30810,72,19.2,,1.8865121229
OR,2020,4,8,12,30812,141,36,,2.3696138189
OR,2020,4,8,14,30814,162,24,,3.0507872102
OR,2020,4,8,16,30816,12,3.6,,0.3309246618
OR,2020,4,8,18,30818,202,24,,2.4235601749
OR,2020,4,8,20,30820,184,21.6,,2.4928047514
OR,2020,4,9,2,30902,114,20.4,,2.239176361
OR,2020,4,9,4,30904,164,15.6,,2.5338683955
OR,2020,4,9,6,30906,68,14.4,,1.5821580544
OR,2020,4,9,8,30908,30,15.6,,2.2029437338
OR,2020,4,9,10,30910,120,24,,2.4275860224
OR,2020,4,9,12,30912,86,12,,1.9179137331
OR,2020,4,9,14,30914,8,12,,1.449305088
OR,2020,4,9,16,30916,201,18,,2.0827050894
OR,2020,4,9,18,30918,194,21.6,,3.195717719
OR,2020,4,9,20,30920,73,24,,1.9783014451
OR,2020,4,10,2,31002,157,24,,2.6039181414
OR,2020,4,10,4,31004,6,20.4,,2.9348428032
OR,2020,4,10,6,31006,45,19.2,,1.9082516992
OR,2020,4,10,8,31008,147,24,,2.7802502605
OR,2020,4,10,10,31010,202,24,,1.9485101739
OR,2020,4,10,12,31012,106,24,,2.4444945818
OR,2020,4,10,14,31014,127,18,,2.1063233946
OR,2020,4,10,16,31016,103,20.4,,2.3985999206
OR,2020,4,10,18,31018,7,12,,0.9734499174
OR,2020,4,10,20,31020,175,18,,2.8285604301
OR,2020,4,11,2,31102,11,12,,1.2246627994
OR,2020,4,11,4,31104,5,24,,1.5435099187
OR,2020,4,11,6,31106,136,9.6,,0.6908354253
OR,2020,4,11,8,31108,26,18,,2.2367608525
OR,2020,4,11,10,31110,1,24,,2.0314426317
OR,2020,4,11,12,31112,42,6,,0.900984663
OR,2020,4,11,14,31114,14,16.8,,1.9686394112
OR,2020,4,11,16,31116,130,20.4,,1.6618698342
OR,2020,4,11,18,31118,202,24,,2.2571584796
OR,2020,4,11,20,31120,35,18,,1.751243648
WA,2020,1,1,1,10101,123,25.5,18.96,6.91843152
WA,2020,1,1,5,10105,126,21.2,16.47,4.8214951834
WA,2020,1,1,9,10109,77,19.3,17.31,3.851223832
WA,2020,1,1,13,10113,133,19.3,17.66,3.8427896588
WA,2020,1,1,17,10117,37,21.3,17.50,3.8766918356
WA,2020,1,1,2,10102,29,20.4,14.95,3.7933591899
WA,2020,1,1,6,10106,191,22.7,19.59,5.8310086154
WA,2020,1,1,10,10110,69,23.7,15.78,4.6813107892
WA,2020,1,1,14,10114,125,19.2,13.63,3.1657766609
WA,2020,1,1,18,10118,13,21.6,17.73,4.9471804404
WA,2020,1,1,3,10103,162,26.9,18.23,6.0640694181
WA,2020,1,1,7,10107,159,27.6,18.06,8.49284964
WA,2020,1,1,11,10111,121,22.9,18.27,5.5972754738
WA,2020,1,1,15,10115,202,26.2,19.00,7.0812547376
WA,2020,1,1,19,10119,116,25.3,18.67,6.0297634475
WA,2020,1,1,4,10104,201,23.8,17.77,6.5201778699
WA,2020,1,1,8,10108,139,22.3,16.69,7.1993649951
WA,2020,1,1,12,10112,84,27,16.76,5.7712929436
WA,2020,1,1,16,10116,32,26.7,17.53,6.3298628397
WA,2020,1,1,20,10120,164,24.1,18.10,7.4001538671
WA,2020,1,2,1,10201,35,25.8,18.52,4.879165647
WA,2020,1,2,5,10205,202,26.4,19.16,6.0381943814
WA,2020,1,2,9,10209,158,28.8,19.39,7.3783118054
WA,2020,1,2,13,10213,82,28.2,17.91,6.0973437528
WA,2020,1,2,17,10217,6,25.9,18.91,5.0544243426
WA,2020,1,2,2,10202,146,25.9,18.61,7.7898166703
WA,2020,1,2,6,10206,104,25.2,18.17,6.1535377238
WA,2020,1,2,10,10210,195,26.9,18.83,7.1118977311
WA,2020,1,2,14,10214,201,26.3,19.54,7.6817852247
WA,2020,1,2,18,10218,52,22.7,16.77,5.317838193
WA,2020,1,2,3,10203,43,24.6,16.94,4.3476525261
WA,2020,1,2,7,10207,76,22.3,19.07,6.0102967672
WA,2020,1,2,11,10211,78,23,16.22,4.5112507641
WA,2020,1,2,15,10215,34,26.8,18.55,7.6741325612
WA,2020,1,2,19,10219,90,21.7,17.31,3.6142870604
WA,2020,1,2,4,10204,24,25.8,17.17,5.678641254
WA,2020,1,2,8,10208,107,27.7,19.38,7.4689161657
WA,2020,1,2,12,10212,3,27.7,19.20,6.577138189
WA,2020,1,2,16,10216,156,27.4,18.52,7.3559267653
WA,2020,1,2,20,10220,140,26.6,19.63,7.1644108139
WA,2020,1,3,1,10301,91,27.2,17.55,6.7651009449
WA,2020,1,3,5,10305,119,23.7,18.50,4.6205329554
WA,2020,1,3,9,10309,114,27,20.22,6.6491459971
WA,2020,1,3,13,10313,66,22.6,18.99,4.9653378529
WA,2020,1,3,17,10317,26,26.8,20.11,5.6112002294
WA,2020,1,3,2,10302,201,27.6,19.16,7.3845338543
WA,2020,1,3,6,10306,189,28.3,19.22,8.906723243
WA,2020,1,3,10,10310,50,20.6,16.99,5.139662074
WA,2020,1,3,14,10314,12,20.4,18.36,4.764104857
WA,2020,1,3,18,10318,182,28.1,19.67,8.2707132783
WA,2020,1,3,3,10303,40,25.4,19.26,6.2961330337
WA,2020,1,3,7,10307,145,27.8,18.90,6.9159978731
WA,2020,1,3,11,10311,111,26.6,18.24,6.6035351631
WA,2020,1,3,15,10315,197,28.2,18.38,6.4376261698
WA,2020,1,3,19,10319,33,24,16.86,5.5923023806
WA,2020,1,3,4,10304,177,25.2,17.42,8.2105914722
WA,2020,1,3,8,10308,186,26.4,18.13,6.2260507038
WA,2020,1,3,12,10312,202,26.1,18.90,7.7627596045
WA,2020,1,3,16,10316,185,25.3,18.50,8.5193126326
WA,2020,1,3,20,10320,36,25.3,16.32,6.3843517877
WA,2020,1,4,1,10401,149,26.6,17.20,5.5708729361
WA,2020,1,4,5,10405,53,24.5,20.10,7.0607468515
WA,2020,1,4,9,10409,73,26.6,20.10,5.2366379797
WA,2020,1,4,13,10413,201,27.7,18.29,6.1040880062
WA,2020,1,4,17,10417,100,22.9,18.02,3.868964009
WA,2020,1,4,2,10402,115,21.9,17.66,4.8085763366
WA,2020,1,4,6,10406,165,26.3,18.01,8.5943015925
WA,2020,1,4,10,10410,131,27.8,20.04,5.9251628201
WA,2020,1,4,14,10414,190,28.4,18.17,7.8177702468
WA,2020,1,4,18,10418,120,23.8,18.19,4.7731177627
WA,2020,1,4,3,10403,136,22.7,17.07,4.7974259695
WA,2020,1,4,7,10407,202,26.8,18.23,7.8957518243
WA,2020,1,4,11,10411,89,27.6,19.62,5.8197263102
