Location,Block,Position,ID,Treatment,row,col,Year,Cut,MSC,DM,Height,Yield,FD,Yield_201,Yield_202,Height_201,Height_202,DM_201,DM_202,MSC_201,MSC_202
WA,8,9,10809,10,38,4,2019,2,2.2,NA,13.8,2.15,NA,2.7,2.96,14.7,17,19.68,19.05,2.5,2.8
WA,8,9,10809,10,38,4,2019,3,NA,NA,15.5,3.19,NA,3.35,2.99,16.5,18,20.57,20.53,2.8,3.2
WA,8,9,10809,10,38,4,2019,4,NA,NA,17.3,2.18,NA,2.99,2.61,18,16,18.16,19.43,2.7,2.6
WA,8,9,10809,10,38,4,2019,5,NA,NA,16.8,2.33,8.6,2.78,2.36,19.5,17.5,19.71,18.06,2.5,3
WA,8,10,10810,169,38,3,2018,1,3.1,22.12,21,3.28,NA,5.35,1.76,24,21,24.56,24.7,4,4.2
WA,8,10,10810,169,38,3,2018,2,NA,NA,NA,4.21,NA,3.95,2.43,20,23,22.48,20.84,3.6,3.8
WA,8,10,10810,169,38,3,2018,3,NA,NA,15,1.94,7,1.46,NA,19,19.5,27,25.52,2.4,2.6
WA,8,10,10810,169,38,3,2019,1,2.8,16.85,23.5,5.08,NA,6.75,4.48,26,30,18.76,17.59,2.7,3.2
WA,8,10,10810,169,38,3,2019,2,2.5,NA,14.2,3.65,NA,2.7,2.96,14.7,17,19.68,19.05,2.5,2.8
WA,8,10,10810,169,38,3,2019,3,NA,NA,14.5,3.24,NA,3.35,2.99,16.5,18,20.57,20.53,2.8,3.2
WA,8,10,10810,169,38,3,2019,4,NA,NA,14,1.78,NA,2.99,2.61,18,16,18.16,19.43,2.7,2.6
WA,8,10,10810,169,38,3,2019,5,NA,NA,13.8,1.94,10.5,2.78,2.36,19.5,17.5,19.71,18.06,2.5,3
WA,8,11,10811,141,38,2,2018,1,2.9,23.45,28,4.1,NA,5.35,1.76,24,21,24.56,24.7,4,4.2
WA,8,11,10811,141,38,2,2018,2,NA,NA,NA,4.17,NA,3.95,2.43,20,23,22.48,20.84,3.6,3.8
WA,8,11,10811,141,38,2,2018,3,NA,NA,23,2.09,9,1.46,NA,19,19.5,27,25.52,2.4,2.6
WA,8,11,10811,141,38,2,2019,1,2.4,17.65,29,6.46,NA,6.75,4.48,26,30,18.76,17.59,2.7,3.2
WA,8,11,10811,141,38,2,2019,2,2.6,NA,22.3,4.11,NA,2.7,2.96,14.7,17,19.68,19.05,2.5,2.8
WA,8,11,10811,141,38,2,2019,3,NA,NA,20.5,3.43,NA,3.35,2.99,16.5,18,20.57,20.53,2.8,3.2
WA,8,11,10811,141,38,2,2019,4,NA,NA,17.8,1.85,NA,2.99,2.61,18,16,18.16,19.43,2.7,2.6
WA,8,11,10811,141,38,2,2019,5,NA,NA,19,1.94,8.9,2.78,2.36,19.5,17.5,19.71,18.06,2.5,3
WA,8,12,10812,58,38,1,2018,1,5.3,24.13,18,4.83,NA,5.35,1.76,24,21,24.56,24.7,4,4.2
WA,8,12,10812,58,38,1,2018,2,NA,NA,NA,2.55,NA,3.95,2.43,20,23,22.48,20.84,3.6,3.8
WA,8,12,10812,58,38,1,2018,3,NA,NA,16,0.83,6,1.46,NA,19,19.5,27,25.52,2.4,2.6
WA,8,12,10812,58,38,1,2019,1,2.9,17.3,26,4.57,NA,6.75,4.48,26,30,18.76,17.59,2.7,3.2
WA,8,12,10812,58,38,1,2019,2,2.2,NA,13.8,2.09,NA,2.7,2.96,14.7,17,19.68,19.05,2.5,2.8
WA,8,12,10812,58,38,1,2019,3,NA,NA,13.5,2.45,NA,3.35,2.99,16.5,18,20.57,20.53,2.8,3.2
WA,8,12,10812,58,38,1,2019,4,NA,NA,15.3,2.16,NA,2.99,2.61,18,16,18.16,19.43,2.7,2.6
WA,8,12,10812,58,38,1,2019,5,NA,NA,14.5,1.92,7.9,2.78,2.36,19.5,17.5,19.71,18.06,2.5,3
WA,8,13,10813,75,39,4,2018,1,3.8,25.39,20,2.95,NA,5.35,1.76,24,21,24.56,24.7,4,4.2
WA,8,13,10813,75,39,4,2018,2,NA,NA,NA,2.72,NA,3.95,2.43,20,23,22.48,20.84,3.6,3.8
WA,8,13,10813,75,39,4,2018,3,NA,NA,13,1.45,6,1.46,NA,19,19.5,27,25.52,2.4,2.6
WA,8,13,10813,75,39,4,2019,1,2.8,15.49,20,2.95,NA,6.75,4.48,26,30,18.76,17.59,2.7,3.2
WA,8,13,10813,75,39,4,2019,2,1.4,NA,7.5,1.1,NA,2.7,2.96,14.7,17,19.68,19.05,2.5,2.8
WA,8,13,10813,75,39,4,2019,3,NA,NA,11.8,2.2,NA,3.35,2.99,16.5,18,20.57,20.53,2.8,3.2
WA,8,13,10813,75,39,4,2019,4,NA,NA,8.3,1.68,NA,2.99,2.61,18,16,18.16,19.43,2.7,2.6
WA,8,13,10813,75,39,4,2019,5,NA,NA,11.3,1.64,6,2.78,2.36,19.5,17.5,19.71,18.06,2.5,3
WA,8,14,10814,28,39,3,2018,1,3.3,21.34,18,1.64,NA,5.35,1.76,24,21,24.56,24.7,4,4.2
WA,8,14,10814,28,39,3,2018,2,NA,NA,NA,1.6,NA,3.95,2.43,20,23,22.48,20.84,3.6,3.8
WA,8,14,10814,28,39,3,2018,3,NA,NA,10,0.31,4,1.46,NA,19,19.5,27,25.52,2.4,2.6
WA,8,14,10814,28,39,3,2019,1,2.6,14.87,16,2.73,NA,6.75,4.48,26,30,18.76,17.59,2.7,3.2
WA,8,14,10814,28,39,3,2019,2,1.2,NA,8.3,1.24,NA,2.7,2.96,14.7,17,19.68,19.05,2.5,2.8
WA,8,14,10814,28,39,3,2019,3,NA,NA,7,0.89,NA,3.35,2.99,16.5,18,20.57,20.53,2.8,3.2
WA,8,14,10814,28,39,3,2019,4,NA,NA,4.3,1.11,NA,2.99,2.61,18,16,18.16,19.43,2.7,2.6
WA,8,14,10814,28,39,3,2019,5,NA,NA,5.9,0.71,5.7,2.78,2.36,19.5,17.5,19.71,18.06,2.5,3
WA,8,15,10815,47,39,2,2018,1,3.8,22.86,21,3.81,NA,5.35,1.76,24,21,24.56,24.7,4,4.2
WA,8,15,10815,47,39,2,2018,2,NA,NA,NA,3.09,NA,3.95,2.43,20,23,22.48,20.84,3.6,3.8
WA,8,15,10815,47,39,2,2018,3,NA,NA,15,1.26,8,1.46,NA,19,19.5,27,25.52,2.4,2.6
WA,8,15,10815,47,39,2,2019,1,2.1,15.44,30,5.39,NA,6.75,4.48,26,30,18.76,17.59,2.7,3.2
WA,8,15,10815,47,39,2,2019,2,2.7,NA,17.3,2.46,NA,2.7,2.96,14.7,17,19.68,19.05,2.5,2.8
WA,8,15,10815,47,39,2,2019,3,NA,NA,16.3,2.26,NA,3.35,2.99,16.5,18,20.57,20.53,2.8,3.2
WA,8,15,10815,47,39,2,2019,4,NA,NA,13.3,1.62,NA,2.99,2.61,18,16,18.16,19.43,2.7,2.6
WA,8,15,10815,47,39,2,2019,5,NA,NA,15.5,1.49,7.9,2.78,2.36,19.5,17.5,19.71,18.06,2.5,3
WA,8,16,10816,201,39,1,2018,1,4,24.56,24,5.35,NA,5.35,1.76,24,21,24.56,24.7,4,4.2
WA,8,16,10816,201,39,1,2018,2,3.6,22.48,20,3.95,NA,3.95,2.43,20,23,22.48,20.84,3.6,3.8
WA,8,16,10816,201,39,1,2018,3,2.4,27,19,1.46,8,1.46,NA,19,19.5,27,25.52,2.4,2.6
WA,8,16,10816,201,39,1,2019,1,2.7,18.76,26,6.75,NA,6.75,4.48,26,30,18.76,17.59,2.7,3.2
WA,8,16,10816,201,39,1,2019,2,2.5,19.68,14.7,2.7,NA,2.7,2.96,14.7,17,19.68,19.05,2.5,2.8
WA,8,16,10816,201,39,1,2019,3,2.8,20.57,16.5,3.35,NA,3.35,2.99,16.5,18,20.57,20.53,2.8,3.2
WA,8,16,10816,201,39,1,2019,4,2.7,18.16,18,2.99,NA,2.99,2.61,18,16,18.16,19.43,2.7,2.6
WA,8,16,10816,201,39,1,2019,5,2.5,19.71,19.5,2.78,11.4,2.78,2.36,19.5,17.5,19.71,18.06,2.5,3
WA,8,17,10817,202,40,4,2018,1,4.2,24.7,21,1.76,NA,5.35,1.76,24,21,24.56,24.7,4,4.2
WA,8,17,10817,202,40,4,2018,2,3.8,20.84,23,2.43,NA,3.95,2.43,20,23,22.48,20.84,3.6,3.8
WA,8,17,10817,202,40,4,2018,3,2.6,25.52,19.5,NA,14,1.46,NA,19,19.5,27,25.52,2.4,2.6
WA,8,17,10817,202,40,4,2019,1,3.2,17.59,30,4.48,NA,6.75,4.48,26,30,18.76,17.59,2.7,3.2
WA,8,17,10817,202,40,4,2019,2,2.8,19.05,17,2.96,NA,2.7,2.96,14.7,17,19.68,19.05,2.5,2.8
WA,8,17,10817,202,40,4,2019,3,3.2,20.53,18,2.99,NA,3.35,2.99,16.5,18,20.57,20.53,2.8,3.2
WA,8,17,10817,202,40,4,2019,4,2.6,19.43,16,2.61,NA,2.99,2.61,18,16,18.16,19.43,2.7,2.6
WA,8,17,10817,202,40,4,2019,5,3,18.06,17.5,2.36,13.7,2.78,2.36,19.5,17.5,19.71,18.06,2.5,3
WA,8,18,10818,48,40,3,2018,1,3.1,23.83,21,2.35,NA,5.35,1.76,24,21,24.56,24.7,4,4.2
WA,8,18,10818,48,40,3,2018,2,NA,NA,NA,2.24,NA,3.95,2.43,20,23,22.48,20.84,3.6,3.8
WA,8,18,10818,48,40,3,2018,3,NA,NA,12,NA,5,1.46,NA,19,19.5,27,25.52,2.4,2.6
WA,8,18,10818,48,40,3,2019,1,3.1,17.76,22.5,3.88,NA,6.75,4.48,26,30,18.76,17.59,2.7,3.2
WA,8,18,10818,48,40,3,2019,2,2.1,NA,15,2.18,NA,2.7,2.96,14.7,17,19.68,19.05,2.5,2.8
WA,8,18,10818,48,40,3,2019,3,NA,NA,12.9,1.74,NA,3.35,2.99,16.5,18,20.57,20.53,2.8,3.2
WA,8,18,10818,48,40,3,2019,4,NA,NA,11.5,1.26,NA,2.99,2.61,18,16,18.16,19.43,2.7,2.6
WA,8,18,10818,48,40,3,2019,5,NA,NA,14.3,0.91,8.9,2.78,2.36,19.5,17.5,19.71,18.06,2.5,3
WA,8,19,10819,42,40,2,2018,1,3.5,22.64,17,2.5,NA,5.35,1.76,24,21,24.56,24.7,4,4.2
WA,8,19,10819,42,40,2,2018,2,NA,NA,NA,1.91,NA,3.95,2.43,20,23,22.48,20.84,3.6,3.8
WA,8,19,10819,42,40,2,2018,3,NA,NA,13,0.65,5,1.46,NA,19,19.5,27,25.52,2.4,2.6
WA,8,19,10819,42,40,2,2019,1,2.5,17.08,25,5.35,NA,6.75,4.48,26,30,18.76,17.59,2.7,3.2
WA,8,19,10819,42,40,2,2019,2,1.3,NA,9.4,1.42,NA,2.7,2.96,14.7,17,19.68,19.05,2.5,2.8
WA,8,19,10819,42,40,2,2019,3,NA,NA,9.3,1.54,NA,3.35,2.99,16.5,18,20.57,20.53,2.8,3.2
WA,8,19,10819,42,40,2,2019,4,NA,NA,6.5,1.43,NA,2.99,2.61,18,16,18.16,19.43,2.7,2.6
WA,8,19,10819,42,40,2,2019,5,NA,NA,10.8,1.4,4.4,2.78,2.36,19.5,17.5,19.71,18.06,2.5,3
WA,8,20,10820,194,40,1,2018,1,4.2,24.3,24,4.34,NA,5.35,1.76,24,21,24.56,24.7,4,4.2
WA,8,20,10820,194,40,1,2018,2,NA,NA,NA,4.83,NA,3.95,2.43,20,23,22.48,20.84,3.6,3.8
WA,8,20,10820,194,40,1,2018,3,NA,NA,21,2.31,17,1.46,NA,19,19.5,27,25.52,2.4,2.6
WA,8,20,10820,194,40,1,2019,1,3.1,18.51,30,6.84,NA,6.75,4.48,26,30,18.76,17.59,2.7,3.2
WA,8,20,10820,194,40,1,2019,2,2.3,NA,16.7,3.71,NA,2.7,2.96,14.7,17,19.68,19.05,2.5,2.8
WA,8,20,10820,194,40,1,2019,3,NA,NA,18,3.7,NA,3.35,2.99,16.5,18,20.57,20.53,2.8,3.2
WA,8,20,10820,194,40,1,2019,4,NA,NA,17,3.4,NA,2.99,2.61,18,16,18.16,19.43,2.7,2.6
WA,8,20,10820,194,40,1,2019,5,NA,NA,21.3,2.87,13.3,2.78,2.36,19.5,17.5,19.71,18.06,2.5,3
WA,9,1,10901,97,41,4,2018,1,3.5,22.99,18,3.1,NA,4.2,3.09,22,24,22.77,21.39,4,3.7
WA,9,1,10901,97,41,4,2018,2,NA,NA,NA,3.44,NA,2.53,4.13,17,22,22.8,21.69,3.3,3.7
WA,9,1,10901,97,41,4,2018,3,NA,NA,17,1.72,6,0.99,1.91,12,18,28.71,32.24,2.5,3.4
WA,9,1,10901,97,41,4,2019,1,2.9,15.08,25,3.24,NA,5.37,6.6,29,26.5,16.83,18.73,2.5,2.8
WA,9,1,10901,97,41,4,2019,2,1.3,NA,12,1.83,NA,2.74,4.45,13.8,18.8,18.97,19.01,2.4,1.8
WA,9,1,10901,97,41,4,2019,3,NA,NA,13.5,2.24,NA,2.11,3.37,14.5,19,22.21,20.53,2.5,3.1
WA,9,1,10901,97,41,4,2019,4,NA,NA,12.8,1.76,NA,1.72,2.45,12.3,14.8,18.28,18.81,2.5,2.4
WA,9,1,10901,97,41,4,2019,5,NA,NA,11.3,1.64,8.3,1.52,2,13.3,16,15.7,16.48,2.5,2.5
WA,9,2,10902,31,41,3,2018,1,3.1,21.52,21,2.73,NA,4.2,3.09,22,24,22.77,21.39,4,3.7
WA,9,2,10902,31,41,3,2018,2,NA,NA,NA,2.76,NA,2.53,4.13,17,22,22.8,21.69,3.3,3.7
WA,9,2,10902,31,41,3,2018,3,NA,NA,13,0.64,7,0.99,1.91,12,18,28.71,32.24,2.5,3.4
WA,9,2,10902,31,41,3,2019,1,2.8,15.45,22.5,3.85,NA,5.37,6.6,29,26.5,16.83,18.73,2.5,2.8
WA,9,2,10902,31,41,3,2019,2,1.9,NA,16.8,2.55,NA,2.74,4.45,13.8,18.8,18.97,19.01,2.4,1.8
WA,9,2,10902,31,41,3,2019,3,NA,NA,14,1.63,NA,2.11,3.37,14.5,19,22.21,20.53,2.5,3.1
WA,9,2,10902,31,41,3,2019,4,NA,NA,10.3,1.66,NA,1.72,2.45,12.3,14.8,18.28,18.81,2.5,2.4
WA,9,2,10902,31,41,3,2019,5,NA,NA,13.8,1,7,1.52,2,13.3,16,15.7,16.48,2.5,2.5
WA,9,3,10903,63,41,2,2018,1,2.9,23.12,20,3.84,NA,4.2,3.09,22,24,22.77,21.39,4,3.7
WA,9,3,10903,63,41,2,2018,2,NA,NA,NA,2.2,NA,2.53,4.13,17,22,22.8,21.69,3.3,3.7
WA,9,3,10903,63,41,2,2018,3,NA,NA,13,0.89,6,0.99,1.91,12,18,28.71,32.24,2.5,3.4
WA,9,3,10903,63,41,2,2019,1,2.9,17.24,25,5.25,NA,5.37,6.6,29,26.5,16.83,18.73,2.5,2.8
WA,9,3,10903,63,41,2,2019,2,1.7,NA,11.3,1.86,NA,2.74,4.45,13.8,18.8,18.97,19.01,2.4,1.8
WA,9,3,10903,63,41,2,2019,3,NA,NA,10.8,1.57,NA,2.11,3.37,14.5,19,22.21,20.53,2.5,3.1
WA,9,3,10903,63,41,2,2019,4,NA,NA,9,1.73,NA,1.72,2.45,12.3,14.8,18.28,18.81,2.5,2.4
WA,9,3,10903,63,41,2,2019,5,NA,NA,11,1.18,8.3,1.52,2,13.3,16,15.7,16.48,2.5,2.5
WA,9,4,10904,110,41,1,2018,1,3.4,23.12,23,5.08,NA,4.2,3.09,22,24,22.77,21.39,4,3.7
WA,9,4,10904,110,41,1,2018,2,NA,NA,NA,4.4,NA,2.53,4.13,17,22,22.8,21.69,3.3,3.7
WA,9,4,10904,110,41,1,2018,3,NA,NA,25,2.4,26,0.99,1.91,12,18,28.71,32.24,2.5,3.4
WA,9,4,10904,110,41,1,2019,1,2.7,17.43,35.5,5.71,NA,5.37,6.6,29,26.5,16.83,18.73,2.5,2.8
WA,9,4,10904,110,41,1,2019,2,2.8,NA,20.3,4.26,NA,2.74,4.45,13.8,18.8,18.97,19.01,2.4,1.8
WA,9,4,10904,110,41,1,2019,3,NA,NA,22,3.95,NA,2.11,3.37,14.5,19,22.21,20.53,2.5,3.1
WA,9,4,10904,110,41,1,2019,4,NA,NA,22.8,3.7,NA,1.72,2.45,12.3,14.8,18.28,18.81,2.5,2.4
WA,9,4,10904,110,41,1,2019,5,NA,NA,24.5,3.61,19.1,1.52,2,13.3,16,15.7,16.48,2.5,2.5
WA,9,5,10905,184,42,4,2018,1,3.4,22.9,22,3.49,NA,4.2,3.09,22,24,22.77,21.39,4,3.7
WA,9,5,10905,184,42,4,2018,2,NA,NA,NA,4.21,NA,2.53,4.13,17,22,22.8,21.69,3.3,3.7
WA,9,5,10905,184,42,4,2018,3,NA,NA,18,2.46,16,0.99,1.91,12,18,28.71,32.24,2.5,3.4
WA,9,5,10905,184,42,4,2019,1,2.8,16.98,28,5.4,NA,5.37,6.6,29,26.5,16.83,18.73,2.5,2.8
WA,9,5,10905,184,42,4,2019,2,2.5,NA,18.7,3.12,NA,2.74,4.45,13.8,18.8,18.97,19.01,2.4,1.8
WA,9,5,10905,184,42,4,2019,3,NA,NA,19.5,2.98,NA,2.11,3.37,14.5,19,22.21,20.53,2.5,3.1
WA,9,5,10905,184,42,4,2019,4,NA,NA,19.8,2.35,NA,1.72,2.45,12.3,14.8,18.28,18.81,2.5,2.4
WA,9,5,10905,184,42,4,2019,5,NA,NA,18.5,2.46,11.7,1.52,2,13.3,16,15.7,16.48,2.5,2.5
WA,9,6,10906,16,42,3,2018,1,2.7,22.27,22,3.45,NA,4.2,3.09,22,24,22.77,21.39,4,3.7
WA,9,6,10906,16,42,3,2018,2,NA,NA,NA,3.15,NA,2.53,4.13,17,22,22.8,21.69,3.3,3.7
WA,9,6,10906,16,42,3,2018,3,NA,NA,12,0.65,5,0.99,1.91,12,18,28.71,32.24,2.5,3.4
WA,9,6,10906,16,42,3,2019,1,2.8,17.45,23.5,4.38,NA,5.37,6.6,29,26.5,16.83,18.73,2.5,2.8
WA,9,6,10906,16,42,3,2019,2,1.8,NA,12.2,2.82,NA,2.74,4.45,13.8,18.8,18.97,19.01,2.4,1.8
WA,9,6,10906,16,42,3,2019,3,NA,NA,11,1.4,NA,2.11,3.37,14.5,19,22.21,20.53,2.5,3.1
WA,9,6,10906,16,42,3,2019,4,NA,NA,8.8,1.5,NA,1.72,2.45,12.3,14.8,18.28,18.81,2.5,2.4
WA,9,6,10906,16,42,3,2019,5,NA,NA,14.3,0.89,9.5,1.52,2,13.3,16,15.7,16.48,2.5,2.5
WA,9,7,10907,201,42,2,2018,1,4,22.77,22,4.2,NA,4.2,3.09,22,24,22.77,21.39,4,3.7
WA,9,7,10907,201,42,2,2018,2,3.3,22.8,17,2.53,NA,2.53,4.13,17,22,22.8,21.69,3.3,3.7
WA,9,7,10907,201,42,2,2018,3,2.5,28.71,12,0.99,7,0.99,1.91,12,18,28.71,32.24,2.5,3.4
WA,9,7,10907,201,42,2,2019,1,2.5,16.83,29,5.37,NA,5.37,6.6,29,26.5,16.83,18.73,2.5,2.8
WA,9,7,10907,201,42,2,2019,2,2.4,18.97,13.8,2.74,NA,2.74,4.45,13.8,18.8,18.97,19.01,2.4,1.8
WA,9,7,10907,201,42,2,2019,3,2.5,22.21,14.5,2.11,NA,2.11,3.37,14.5,19,22.21,20.53,2.5,3.1
WA,9,7,10907,201,42,2,2019,4,2.5,18.28,12.3,1.72,NA,1.72,2.45,12.3,14.8,18.28,18.81,2.5,2.4
WA,9,7,10907,201,42,2,2019,5,2.5,15.7,13.3,1.52,10.5,1.52,2,13.3,16,15.7,16.48,2.5,2.5
WA,9,8,10908,55,42,1,2018,1,3.4,23.29,25,4.09,NA,4.2,3.09,22,24,22.77,21.39,4,3.7
WA,9,8,10908,55,42,1,2018,2,NA,NA,NA,3.55,NA,2.53,4.13,17,22,22.8,21.69,3.3,3.7
WA,9,8,10908,55,42,1,2018,3,NA,NA,18,1.71,8,0.99,1.91,12,18,28.71,32.24,2.5,3.4
WA,9,8,10908,55,42,1,2019,1,2.6,20.25,31,5.57,NA,5.37,6.6,29,26.5,16.83,18.73,2.5,2.8
WA,9,8,10908,55,42,1,2019,2,2.6,NA,20.9,3.76,NA,2.74,4.45,13.8,18.8,18.97,19.01,2.4,1.8
WA,9,8,10908,55,42,1,2019,3,NA,NA,22.8,3.53,NA,2.11,3.37,14.5,19,22.21,20.53,2.5,3.1
WA,9,8,10908,55,42,1,2019,4,NA,NA,20.5,2.94,NA,1.72,2.45,12.3,14.8,18.28,18.81,2.5,2.4
WA,9,8,10908,55,42,1,2019,5,NA,NA,19,2.04,13,1.52,2,13.3,16,15.7,16.48,2.5,2.5
WA,9,9,10909,4,43,4,2018,1,2.9,25.13,21,3.85,NA,4.2,3.09,22,24,22.77,21.39,4,3.7
WA,9,9,10909,4,43,4,2018,2,NA,NA,NA,3.73,NA,2.53,4.13,17,22,22.8,21.69,3.3,3.7
WA,9,9,10909,4,43,4,2018,3,NA,NA,17,1.76,8,0.99,1.91,12,18,28.71,32.24,2.5,3.4
WA,9,9,10909,4,43,4,2019,1,2.6,14.06,31,3.76,NA,5.37,6.6,29,26.5,16.83,18.73,2.5,2.8
WA,9,9,10909,4,43,4,2019,2,2,NA,12.2,1.93,NA,2.74,4.45,13.8,18.8,18.97,19.01,2.4,1.8
WA,9,9,10909,4,43,4,2019,3,NA,NA,13.8,1.99,NA,2.11,3.37,14.5,19,22.21,20.53,2.5,3.1
WA,9,9,10909,4,43,4,2019,4,NA,NA,11.8,1.74,NA,1.72,2.45,12.3,14.8,18.28,18.81,2.5,2.4
WA,9,9,10909,4,43,4,2019,5,NA,NA,13.5,1.92,8.6,1.52,2,13.3,16,15.7,16.48,2.5,2.5
WA,9,10,10910,202,43,3,2018,1,3.7,21.39,24,3.09,NA,4.2,3.09,22,24,22.77,21.39,4,3.7
WA,9,10,10910,202,43,3,2018,2,3.7,21.69,22,4.13,NA,2.53,4.13,17,22,22.8,21.69,3.3,3.7
WA,9,10,10910,202,43,3,2018,3,3.4,32.24,18,1.91,10,0.99,1.91,12,18,28.71,32.24,2.5,3.4
WA,9,10,10910,202,43,3,2019,1,2.8,18.73,26.5,6.6,NA,5.37,6.6,29,26.5,16.83,18.73,2.5,2.8
WA,9,10,10910,202,43,3,2019,2,1.8,19.01,18.8,4.45,NA,2.74,4.45,13.8,18.8,18.97,19.01,2.4,1.8
WA,9,10,10910,202,43,3,2019,3,3.1,20.53,19,3.37,NA,2.11,3.37,14.5,19,22.21,20.53,2.5,3.1
WA,9,10,10910,202,43,3,2019,4,2.4,18.81,14.8,2.45,NA,1.72,2.45,12.3,14.8,18.28,18.81,2.5,2.4
WA,9,10,10910,202,43,3,2019,5,2.5,16.48,16,2,10.5,1.52,2,13.3,16,15.7,16.48,2.5,2.5
WA,9,11,10911,102,43,2,2018,1,3.6,20.43,26,3.91,NA,4.2,3.09,22,24,22.77,21.39,4,3.7
WA,9,11,10911,102,43,2,2018,2,NA,NA,NA,3.36,NA,2.53,4.13,17,22,22.8,21.69,3.3,3.7
WA,9,11,10911,102,43,2,2018,3,NA,NA,21,2,16,0.99,1.91,12,18,28.71,32.24,2.5,3.4
WA,9,11,10911,102,43,2,2019,1,2.8,15.66,29.5,5.49,NA,5.37,6.6,29,26.5,16.83,18.73,2.5,2.8
WA,9,11,10911,102,43,2,2019,2,2.3,NA,18.5,3.94,NA,2.74,4.45,13.8,18.8,18.97,19.01,2.4,1.8
WA,9,11,10911,102,43,2,2019,3,NA,NA,18,2.84,NA,2.11,3.37,14.5,19,22.21,20.53,2.5,3.1
WA,9,11,10911,102,43,2,2019,4,NA,NA,15.8,2.11,NA,1.72,2.45,12.3,14.8,18.28,18.81,2.5,2.4
WA,9,11,10911,102,43,2,2019,5,NA,NA,18.3,2.03,12.4,1.52,2,13.3,16,15.7,16.48,2.5,2.5
WA,9,12,10912,7,43,1,2018,1,3.5,22.36,26,4.6,NA,4.2,3.09,22,24,22.77,21.39,4,3.7
WA,9,12,10912,7,43,1,2018,2,NA,NA,NA,3.3,NA,2.53,4.13,17,22,22.8,21.69,3.3,3.7
WA,9,12,10912,7,43,1,2018,3,NA,NA,18,1.58,7,0.99,1.91,12,18,28.71,32.24,2.5,3.4
WA,9,12,10912,7,43,1,2019,1,2.6,17.49,26,5.75,NA,5.37,6.6,29,26.5,16.83,18.73,2.5,2.8
WA,9,12,10912,7,43,1,2019,2,2.3,NA,15.8,3.05,NA,2.74,4.45,13.8,18.8,18.97,19.01,2.4,1.8
WA,9,12,10912,7,43,1,2019,3,NA,NA,16.5,2.81,NA,2.11,3.37,14.5,19,22.21,20.53,2.5,3.1
WA,9,12,10912,7,43,1,2019,4,NA,NA,14.8,2.61,NA,1.72,2.45,12.3,14.8,18.28,18.81,2.5,2.4
WA,9,12,10912,7,43,1,2019,5,NA,NA,18.5,2.11,12.7,1.52,2,13.3,16,15.7,16.48,2.5,2.5
WA,9,13,10913,132,44,4,2018,1,3.3,22.68,25,5.16,NA,4.2,3.09,22,24,22.77,21.39,4,3.7
WA,9,13,10913,132,44,4,2018,2,NA,NA,NA,4.03,NA,2.53,4.13,17,22,22.8,21.69,3.3,3.7
WA,9,13,10913,132,44,4,2018,3,NA,NA,13,1.47,7,0.99,1.91,12,18,28.71,32.24,2.5,3.4
WA,9,13,10913,132,44,4,2019,1,2.6,15.46,24.5,4.39,NA,5.37,6.6,29,26.5,16.83,18.73,2.5,2.8
WA,9,13,10913,132,44,4,2019,2,1.3,NA,9.5,2.15,NA,2.74,4.45,13.8,18.8,18.97,19.01,2.4,1.8
WA,9,13,10913,132,44,4,2019,3,NA,NA,12.8,2.33,NA,2.11,3.37,14.5,19,22.21,20.53,2.5,3.1
WA,9,13,10913,132,44,4,2019,4,NA,NA,10,1.92,NA,1.72,2.45,12.3,14.8,18.28,18.81,2.5,2.4
WA,9,13,10913,132,44,4,2019,5,NA,NA,13.3,1.47,6,1.52,2,13.3,16,15.7,16.48,2.5,2.5
WA,9,14,10914,122,44,3,2018,1,3.8,22.98,23,4.42,NA,4.2,3.09,22,24,22.77,21.39,4,3.7
WA,9,14,10914,122,44,3,2018,2,NA,NA,NA,4.98,NA,2.53,4.13,17,22,22.8,21.69,3.3,3.7
WA,9,14,10914,122,44,3,2018,3,NA,NA,19,2.34,10,0.99,1.91,12,18,28.71,32.24,2.5,3.4
WA,9,14,10914,122,44,3,2019,1,2.9,17.24,26.5,5.53,NA,5.37,6.6,29,26.5,16.83,18.73,2.5,2.8
WA,9,14,10914,122,44,3,2019,2,2.4,NA,14.8,3.35,NA,2.74,4.45,13.8,18.8,18.97,19.01,2.4,1.8
WA,9,14,10914,122,44,3,2019,3,NA,NA,15.9,2.66,NA,2.11,3.37,14.5,19,22.21,20.53,2.5,3.1
WA,9,14,10914,122,44,3,2019,4,NA,NA,13,2.06,NA,1.72,2.45,12.3,14.8,18.28,18.81,2.5,2.4
WA,9,14,10914,122,44,3,2019,5,NA,NA,13.5,1.5,9.2,1.52,2,13.3,16,15.7,16.48,2.5,2.5
WA,9,15,10915,173,44,2,2018,1,3.7,20.25,26,4.88,NA,4.2,3.09,22,24,22.77,21.39,4,3.7
WA,9,15,10915,173,44,2,2018,2,NA,NA,NA,3.98,NA,2.53,4.13,17,22,22.8,21.69,3.3,3.7
WA,9,15,10915,173,44,2,2018,3,NA,NA,21,2.75,8,0.99,1.91,12,18,28.71,32.24,2.5,3.4
WA,9,15,10915,173,44,2,2019,1,2.9,15.48,25,6.3,NA,5.37,6.6,29,26.5,16.83,18.73,2.5,2.8
